# T3 FLAVOR TAGS — 183 products
# Format: SKU|name|classification|country|region|grape|style

LBD0053BU|Hennessy  X.O (700 ml)|Brandy|France|Cognac||Brandy
LBD0220BU|Hennessy  X.O.  Jean-Michel (Limited Edition) (700 ml)|Brandy|France|Cognac||Brandy
LBE0011AI|Erdinger  Weissbier (500 ml) x 12|Beer|Germany|||Lager
LBE0244AI|Peroni  Nastro Azzurro (330 ml) x 24|Beer|Italy|Lombardy||Lager
LBE0260AX|Fuller's  India Pale Ale  500ml x 12|Beer|England|||IPA
LBE0267AX|Paulaner  Original Munchner Hell  330ml x 24|Beer|Germany|||Lager
LBE0302AX|Paulaner  Original Munchner Hell  5L x 1|Beer|Germany|||Lager
LBE0519AB|Paulaner  Oktoberfest Bier  500ml x 20|Beer|Germany|||Lager
LGN0265AA|Yomeishu  Kanoshizuku Craft Gin (300 ml)|Gin|Japan|||Dry Gin
LGN0279FK|Askur  Yggdrasil Gin (Alc. Volume 45%) (1 L)|Gin|Iceland|||Dry Gin
LGN0280CN|Lady Trieu  Contemporary Vietnam Gin (700 ml)|Gin|Vietnam|||Dry Gin
LGN0294EQ|Zafiro Classic Gin (700 ml)|Gin|Spain|||Dry Gin
LGN0296EQ|Zafiro Strawberry Gin (700 ml)|Gin|Spain|||Dry Gin
LGP0091FX|Granmonte  Red Jungle Grappa (330 ml)|Brandy|Thailand|Khao Yai||Grappa
LLQ0245DG|Mancino  Vermouth Rosso (750 ml)|Liqueur|Italy|Piedmont||Liqueur
LLQ0300CN|Cinzano  Vermouth Di Torino Rosso 1757 (1 L)|Liqueur|Italy|Piedmont||Liqueur
LLQ0372DB|Suntory  Crème de Kyoho / Murasaki (700 ml)|Liqueur|Japan|Japan||Liqueur
LLQ0454AV|The Japanese   Hinoki Bitter (200 ml)|Liqueur|Japan|||Herbal Liqueur
LLQ0489ER|Bandwgon  Manhatton Cocktail (Ready to drink) (700 ml)|Liqueur|USA|||Liqueur
LLQ0503GW|Strega  Limoncello Di Sorrento (700 ml)|Liqueur|Italy|||Fruit Liqueur
LOT0066AB|Nakano BC  Kishu Hassaku Umeshu (720 ml)|Others|Japan|||
LOT0089AR|Komasa Jyozo  Komasa no Umeshu (700 ml)|Others|Japan|||
LSK0013AR|Fukuju  Awasaki Sparkling Sake (300 ml)|Sparkling Wine|Japan|Champagne||Sparkling Sake
LSK0016AR|Fukuju  Junmai ginjo (720 ml)|Sake/Shochu|Japan|||
LSK0022AR|Kamotsuru  Kuranama (720 ml)|Sake/Shochu|Japan|||
LSK0046AR|Sesshu  Otokoyama (720 ml)|Sake/Shochu|Japan|||
LSK0047AR|Sesshu  Otokoyama (300 ml)|Sake/Shochu|Japan|||
LSK0062AR|Houki No Indama  Honjo Dry (1.8 L)|Sake/Shochu|Japan|||
LSK0063AR|Houki No Indama  Honjo Dry (720 ml)|Sake/Shochu|Japan|||
LSK0064AR|Houki No Indama  Honjo Dry (300 ml)|Sake/Shochu|Japan|||
LSK0124AB|Bijofu  Junmai Ginjo Junrei TAMA Label (720 ml)|Sake/Shochu|Japan|||
LSK0127AB|Bijofu  Tokubetsu Honjozo (720 ml)|Sake/Shochu|Japan|||
LSK0137AB|Masumi  Junmai Okuden Kanzukuri (720 ml)|Sake/Shochu|Japan|||
LSK0144AB|Masumi  Karakuchi Gold (1.8 L)|Sake/Shochu|Japan|||
LSK0226DB|TANIGAWADAKE  Junmai-Daiginjo (720 ml)|Sake/Shochu|Japan|||
LSK0265DB|BORN  Junmai-Daiginjo Non-filter Nama-Genshu (720 ml)|Sake/Shochu|Japan|||
LSK0316AR|Kamotsuru  Junmai (720 ml)|Sake/Shochu|Japan|||
LSK0336DB|Shichiken  Furinbizan Junmai (720 ml)|Sake/Shochu|Japan|||
LSK0340DB|Shichiken  Nama Nama Junmai Nama-sake (720 ml)|Sake/Shochu|Japan|||
LSK0344DB|Shichiken  Sora no irodori Sparkling-Sake (720 ml)|Sake/Shochu|Japan|||
LSK0435FS|Hakutsuru  Junmai Ginjo (300 ml)|Sake/Shochu|Japan|||
LSK0437FS|Hakutsuru  Standard Jyosen (1.8 L)|Sake/Shochu|Japan|||
LSK0438FS|Hakutsuru  Karakuchi Jyosen (1.8 L)|Sake/Shochu|Japan|||
LSK0440FS|Hakutsuru  Nama Sake (Draft Sake) (300 ml)|Sake/Shochu|Japan|||
LSK0441FS|Kunizakari  Tanrei Yuzu Sake (1 L)|Sake/Shochu|Japan|||
LSK0455AB|Azakura Junmai Genshu (300 ml)|Sake/Shochu|Japan|||
LSK0456AB|Azakura Junmai Genshu (720 ml)|Sake/Shochu|Japan|||
LSK0473AB|Chiyomusubi Junmai Daiginjo Goriki 40 (720 ml)|Sake/Shochu|Japan|||
LSK0479AB|Chiyomusubi Junmai Goriki 60 Muroka Nama Genshu (720 ml)|Sake/Shochu|Japan|||
LSK0490AB|Chiyomusubi Sparkling Sake Sorah (720 ml)|Sake/Shochu|Japan|||
LSK0494AB|Dassai Sparkling 45 (360 ml)|Sake/Shochu|Japan|||
LSK0497AB|Eikofuji Banryu (720 ml)|Sake/Shochu|Japan|||
LSK0522AB|Kirinzan Shooting Star (300 ml)|Sake/Shochu|Japan|||
LSK0529AB|Kirinzan Extra Dry (300 ml)|Sake/Shochu|Japan|||
