sku,is_in_stock,status,brand,name,vintage,bottle_size,thumbnail,image,small_image
WDW0001AA,1,1,Batasiolo,Batasiolo  Moscato Spumante Dolce,NV,750 ml,https://th.wine-now.com/media/catalog/product/w/d/wdw0001aa.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0001aa.jpg,https://th.wine-now.com/media/catalog/product/w/d/wdw0001aa.jpg
WDW0003AC,0,1,Quady,Quady  Electra,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/D/W/DW0003C.jpg,https://th.wine-now.com/media/catalog/product/D/W/DW0003C.jpg,https://th.wine-now.com/media/catalog/product/D/W/DW0003C.jpg
WRS0002AA,0,1,Château la Tour de l'évêque,Chateau La Tour L'Eveque Pétale de Rose Rosé AOP,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrs0002aa_2.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0002aa_2.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrs0002aa_2.jpg
WRW0001HI,1,1,Fantini,Fantini Gran Sasso Montepulciano d‘Abruzzo Limited Edition DOC,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0001aa.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0001aa.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0001aa.jpg
WRW0002AD,1,1,Vigneti Del Salento,Vigneti del Salento  I Muri` Negroamaro,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0002aa.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0002aa.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0002aa.jpg
WRW0003AA,0,1,Vigneti Di Zabu,Vigneti Di Zabu  Syrah Sicilia,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/r/w/rw0003a_1.png,https://th.wine-now.com/media/catalog/product/r/w/rw0003a_1.png,https://th.wine-now.com/media/catalog/product/r/w/rw0003a_1.png
WRW0007AA,0,1,Finca La Celia,"Finca La Celia  La Celia Reserve,Cabernet Sauvignon",Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/r/w/rw0007a_1.jpg,https://th.wine-now.com/media/catalog/product/r/w/rw0007a_1.jpg,https://th.wine-now.com/media/catalog/product/r/w/rw0007a_1.jpg
WRW0008AC,1,1,Carta Vieja,Carta Vieja  Limited Release Cabernet Sauvignon,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0008ac.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0008ac.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0008ac.jpg
WRW0009AA,1,1,Allegrini,Palazzo Grimani by Allegrini  Valpolicella Ripasso DOC,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0009aa.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0009aa.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0009aa.jpg
WRW0010AA,0,1,Parker,Parker  Favourite son Cabernet Merlot,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/R/W/RW0010A.jpg,https://th.wine-now.com/media/catalog/product/R/W/RW0010A.jpg,https://th.wine-now.com/media/catalog/product/R/W/RW0010A.jpg
WRW0012AD,1,1,Castello Banfi,Castello Banfi  Chianti,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0012ad_2.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0012ad_2.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0012ad_2.jpg
WRW0020AC,1,1,Noble Vines,"Noble Vines ""337"" Lodi  Cabernet Sauvignon",Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0020ac_1.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0020ac_1.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0020ac_1.jpg
WRW0021AD,0,1,Chanson Pere & Fils,Chanson Pere & Fils  Bourgogne Pinot Noir,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/R/W/RW0021D.jpg,https://th.wine-now.com/media/catalog/product/R/W/RW0021D.jpg,https://th.wine-now.com/media/catalog/product/R/W/RW0021D.jpg
WRW0022AC,0,1,Katnook,Katnook  Founder's Block Cabernet Sauvignon,Current vintage,750 ml,https://th.wine-now.com/media/catalog/product/w/r/wrw0022ac_1.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0022ac_1.jpg,https://th.wine-now.com/media/catalog/product/w/r/wrw0022ac_1.jpg
