ID,WEB,PRICE GROUP,Type,sku,is_in_stock,custom_stock_status,manufacturer,supplier_code,brand,name,bottle_size,vintage,cost,price,special_price,Margin THB,Margin %,SP discount %,B2B,B2B Margin THB,B2B Margin %,B2B Discount %,Content,WN Stock,Consign,Sold order Mar,Sold Qty Mar,promotion_price,promotion_tier_price,wine_type,country,region_wine,grape_class,grape_variety,wine_body,wine_acidity,wine_tanin,food_matching,liquor_main_type,other_type
1,W,A 0-1000,WDW,WDW0001AA,1,,Italasia,WBT-002S,Batasiolo,Batasiolo  Moscato Spumante Dolce,750 ml,NV,394.52535,755,698,257.81,40%,8%,570,138.18,26%,18%,Best Sellers Right Now,2,,2,3,Yes,No,Sparkling Wine,Italy,Piedmont,Moscato,Moscato 100%,Medium,Medium,Low,Dessert,,
2,W,A 0-1000,WDW,WDW0003AC,0,CATALOG,California,N/A,Quady,Quady  Electra,750 ml,Current vintage,750,979,,164.95,18%,,,,,,,,,,,Yes,No,Dessert Wine,USA,California | Central Coast,Moscato,100% Orange Muscat,Medium,High,Low,Dessert,,
3,W,B 1000-2000,WRS,WRS0002AA,0,,Italasia,WRG-001RS,Château la Tour de l'évêque,Chateau La Tour L'Eveque Pétale de Rose Rosé AOP,750 ml,Current vintage,595,1210,,535.84,47%,,910,255.47,30%,25%,,,,,,No,No,Rose Wine,France,Provence | Les Baux-de-Provence,Blended,"46% Cinsault, 32% Grenache, 12% Syrah, 5% Mourvèdre, 2% Ugni blanc, 1% Cabernet sauvignon, 1% Rolle, 1% Sémillon.",Medium,High,Low,Chicken|Fish|Seafood|Vegetables,,
4,W,A 0-1000,WRW,WRW0001AA,0,,Italasia,WGS-002R,Gran Sasso,Gran Sasso  Montepulciano D' Abruzzo DOC,750 ml,Current vintage,446,850,,348.39,44%,,640,152.13,25%,25%,,,,,,No,No,Red Wine,Italy,Abruzzo | Montepulciano d’Abruzzo,Montepulciano,100% Montepulciano,Full,High,High,Beef|Pasta,,
5,W,A 0-1000,WRW,WRW0002AD,1,,IWS,W-ITFT-02375,Vigneti Del Salento,Vigneti del Salento  I Muri` Negroamaro,750 ml,Current vintage,470,645,,132.80,22%,,570,62.71,12%,12%,,1,,1,1,Yes,No,Red Wine,Italy,Puglia,Negroamaro,100% Negroamaro,Medium,Medium,Medium,Beef|Cured Meat|Soft Cheese|Pasta,,
6,W,A 0-1000,WRW,WRW0003AA,0,,Italasia,WVZ-002R,Vigneti Di Zabu,Vigneti Di Zabu  Syrah Sicilia,750 ml,Current vintage,398,755,,307.61,44%,,570,134.71,25%,25%,,,,,,Yes,No,Red Wine,Italy,Sicily,Shiraz,Shiraz 100%,Medium,High,Low,Beef|Lamb|Spicy Food,,
7,W,A 0-1000,WRW,WRW0007AA,0,CATALOG,Italasia,WFL-002R,Finca La Celia,"Finca La Celia  La Celia Reserve,Cabernet Sauvignon",750 ml,Current vintage,468.75,800,,278.91,37%,,,,,,,,,,,No,No,Red Wine,Argentina,Mendoza,Cabernet Sauvignon,100% Cabernet Sauvignon,Full,Medium,High,Beef|Lamb|Cured Meat|Hard Cheese,,
8,W,A 0-1000,WRW,WRW0008AC,1,,"EU Wine Co.,Ltd.",N/A,Carta Vieja,Carta Vieja  Limited Release Cabernet Sauvignon,750 ml,Current vintage,550,719,668,74.30,12%,7%,660,66.82,11%,1%,Best Sellers Right Now,2,,,,Yes,No,Red Wine,Chile,Loncomilla Valley,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
9,W,B 1000-2000,WRW,WRW0009AA,1,,Italasia,WAL-003R,Allegrini,Palazzo Grimani by Allegrini  Valpolicella Ripasso DOC,750 ml,Current vintage,553,1125,888,276.91,33%,21%,850,241.39,30%,4%,Best Sellers Right Now,1,,,,Yes,No,Red Wine,Italy,Tuscany,Blended,"Corvina Veronese 70%, Rondinella 30%",Full,Medium,Medium,Beef|Soft Cheese|Barbecue,,
10,W,A 0-1000,WRW,WRW0010AA,0,CATALOG,Italasia,WPK-005R,Parker,Parker  Favourite son Cabernet Merlot,750 ml,Current vintage,446.25,760,,264.03,37%,,,,,,,,,,,No,No,Red Wine,Australia,Coonawarra,Blended,Cabernet and Merlot,Medium,Medium,Medium,Beef|Cured Meat|Barbecue,,
