sku,item_name,websites,base_image_url,item_url
WDW0001AA,Batasiolo  Moscato Spumante Dolce,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/d/wdw0001aa.jpg,https://th.wine-now.com/batasiolo-moscato-spumante-dolce.html
WDW0002AA,Pio Cesare  Moscato D'Asti DOCG,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/D/W/DW0002A.jpg,https://th.wine-now.com/pio-cesare-moscato-d-asti.html
WDW0003AC,Quady  Electra,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/D/W/DW0003C.jpg,https://th.wine-now.com/quady-electra.html
WRS0001AA,"Yering  Rose' Pinot Noir, Village","Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/S/RS0001A.jpg,https://th.wine-now.com/yering-rose-pinot-noir-village.html
WRS0002AA,Chateau La Tour L'Eveque Pétale de Rose Rosé AOP,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrs0002aa_2.jpg,https://th.wine-now.com/chateau-la-tour-l-eveque-petale-de-rose-rose-aop.html
WRS0003AA,Santa Cristina By Antinori Cipresseto Toscana Rose IGT,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrs0003aa.jpg,https://th.wine-now.com/santa-cristina-by-antinori-cipresseto-toscana-rose-igt.html
WRS0004AG,Les Maitres Vignerons De St.Tropez,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/S/RS0004G.jpg,https://th.wine-now.com/les-maitres-vignerons-de-st-tropez.html
WRS0006AC,Sunnycliff  Rose,"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/S/RS0006C.jpg,https://th.wine-now.com/sunnycliff-range-rose.html
WRW0001HI,Fantini Gran Sasso Montepulciano d‘Abruzzo Limited Edition DOC,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0001aa.jpg,https://th.wine-now.com/fantini-gran-sasso-montepulciano-d-abruzzo-limited-edition-doc.html
WRW0002AD,Vigneti del Salento  I Muri` Negroamaro,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0002aa.jpg,https://th.wine-now.com/vigneti-del-salento-i-muri-negroamaro.html
WRW0003AA,Vigneti Di Zabu  Syrah Sicilia,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/r/w/rw0003a_1.png,https://th.wine-now.com/vigneti-di-zabu-syrah-sicilia.html
WRW0004AC,Cockatoo Ridge  Cabernet Merlot,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0004C.jpg,https://th.wine-now.com/cockatoo-ridge-cabernet-merlot.html
