sku	candidate_image_url	source_page	rendered_size	note
LLQ0420AE	https://en.massenez.com/wp-content/webp-express/webp-images/uploads/2022/09/Tr%C3%A9sors-Massenez-packshot-1536x740.jpg.webp	https://en.massenez.com/our-range/	1280x616	
LLQ0474AE	https://en.massenez.com/wp-content/webp-express/webp-images/uploads/2022/09/Tr%C3%A9sors-Massenez-packshot-1536x740.jpg.webp	https://en.massenez.com/our-range/	1280x616	
LWH1212AE	https://www.kilchomandistillery.com/wp-content/uploads/2024/03/Scotch-Whisky-Masters-2025-Medal-MASTERS-scaled.png	https://www.kilchomandistillery.com/our-whisky/batch-strength/	2327x2560	
LWH1213AE	https://www.kilchomandistillery.com/wp-content/uploads/2018/06/Sauternes-2016-Hi-B.png	https://www.kilchomandistillery.com/our-whisky/sauternes-cask-matured/	742x1352	
LWH1211AE		https://ezrabrooks.com/whiskey/ezra-99-rye/		page found, no usable image
WRW6614GX	https://cdn.shopify.com/s/files/1/0639/6775/6525/files/Screen_Shot_2024-02-05_at_3.17.41_PM.png?v=1707175079	https://www.vikwine.net/products/vik	2021x1361	
WRW6944GX	https://cdn.shopify.com/s/files/1/0639/6775/6525/files/Cuadro-La-Piu-Belle-Vino.jpg?v=1707173514	https://www.vikwine.net/products/la-piu-belle	4120x3780	
WRW6945GX	https://cdn.shopify.com/s/files/1/0639/6775/6525/files/0959_BAJA_1500x.jpg?v=1715780244	https://www.vikwine.net/products/stonevik	1500x2099	
WRW6956FS		https://santahelena.cl/en/our-wines/gran-reserva/		page found, no usable image
WWW6014FS		https://santahelena.cl/en/our-wines/gran-reserva/chardonnay-gr/		page found, no usable image
WWW6015FS		https://santahelena.cl/en/nuestros-vinos/		page found, no usable image
WWW6019AD	https://garofolivini.it/wp-content/uploads/2025/01/logo-2-marrone.png	https://www.garofolivini.it/en/vino/supera/	1425x696	
WRW6577GX		https://www.tornatorewine.com/prodotto/etna-rosso-trimarchisa-75cl/?lang=en		page found, no usable image
WRW4210AD	https://bodegagarzon.com/wp-content/themes/generatepress_child/img/wechat_qr.jpg	https://bodegagarzon.com/en/our-wines/	258x258	
WSP8895FS	https://www.montelvini.it/cdn/shop/files/montelvini-logo-N_13beb9c1-0d08-49e8-af91-e3d3cc461b5a.png?v=1747815185&width=3120	https://www.montelvini.it/en/products/asolo-prosecco-supeiore-docg-extra-dry	3120x1620	
WSP8896FS	https://www.montelvini.it/cdn/shop/files/montelvini-logo-N_13beb9c1-0d08-49e8-af91-e3d3cc461b5a.png?v=1747815185&width=3120	https://www.montelvini.it/en/products/spumante-dolce	3120x1620	
WSP8893FS	https://www.montelvini.it/cdn/shop/files/montelvini-logo-N_13beb9c1-0d08-49e8-af91-e3d3cc461b5a.png?v=1747815185&width=3120	https://www.montelvini.it/en/products/prosecco-doc-extra-dry	3120x1620	
WSP8906AD	https://champagne-gremillet.fr/wp-content/uploads/2018/05/Gremillet_logo_noir.png	https://www.champagne-gremillet.fr/en/the-collection/the-classics/brut-rose/	542x292	
WSP8899AD	https://en.massenez.com/wp-content/webp-express/webp-images/uploads/2022/09/Tr%C3%A9sors-Massenez-packshot-1536x740.jpg.webp	https://en.massenez.com/our-range/	1280x616	
WRW6575GX		https://www.borgavini.it/en/		"error: Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.borgavini.it/en/
Call log:
"
WRW6597GX		https://corrytonburge.com/products/percival-norman-barossa-shiraz		"error: Error: Page.goto: Navigation to ""https://corrytonburge.com/products/percival-norman-bar"
WRW7598GX		https://www.vikwine.net/products/vik		"error: Error: Page.goto: Navigation to ""https://www.vikwine.net/products/vik"" is interrupted b"
WRW7599AA	https://www.bpdr.com/zone/elements/Ouverture_Mouton_Cadet_Wine_Bar_1004x200.jpg	https://www.bpdr.com/en/our-wines/mouton-cadet/	1004x200	
WRW7608GX	https://cdn.shopify.com/s/files/1/0639/6775/6525/files/Screen_Shot_2024-02-05_at_3.17.41_PM.png?v=1707175079	https://www.vikwine.net/products/vik	2021x1361	
WSP8892FS	https://www.montelvini.it/cdn/shop/files/montelvini-logo-N_13beb9c1-0d08-49e8-af91-e3d3cc461b5a.png?v=1747815185&width=3120	https://www.montelvini.it/en/products/prosecco-doc-rose-extra-dry	3120x1620	
WSP8894FS	https://www.montelvini.it/cdn/shop/files/montelvini-logo-N_13beb9c1-0d08-49e8-af91-e3d3cc461b5a.png?v=1747815185&width=3120	https://www.montelvini.it/en/products/prosecco-doc-brut	3120x1620	
