ID,sku,manufacturer,supplier_code,brand,name,bottle_size,Order qty July,Order qty Aug,9.9 price,Margin,Discount %,cost,price
135,LWH0474ES,Thai Beverage Public Company Limited,,AnCnoc,AnCnoc  12 Year (700 ml),700 ml,,,"2,349",10%,9%,"1,985","2,585"
104,LWH0162AD,IWS (MH),S-SCMH-003700000,Ardbeg,Ardbeg  10 Years (700 ml),700 ml,2,3,"2,799",8%,9%,"2,400","3,079"
149,LWH0605AD,IWS (MH),S-SCMH-008700000,Ardbeg,Ardbeg  An Oa (700 ml),700 ml,,1,"3,559",10%,9%,"2,980","3,909"
110,LWH0171AD,IWS (MH),S-SCMH-010700000,Ardbeg,Ardbeg  Corryvreckan (700 ml),700 ml,,1,"5,249",9%,9%,"4,450","5,769"
171,LWH1120AE,Brandconnect,,Arran,Arran  25 Years old Single Malt (700 ml) (Limited),700 ml,,1,"20,919",14%,9%,"16,800","22,989"
116,LWH0233AA,Beam Suntory - Suriwongse Store,SAU-002,Auchentoshan,Auchentoshan  Single Malt Scotch Three Wood (700 ml),700 ml,,,#REF!,#REF!,#REF!,"2,935","3,719"
137,LWH0523ES,Thai Beverage Public Company Limited,,Balblair,Balblair  12 Year (700 ml),700 ml,,,"3,349",10%,9%,"2,828","3,685"
93,LWH0040BU,Pernod Ricard,N/A,Ballantine's,Ballantine's  30 Years (700 ml),700 ml,,,,,,"16,256","19,445"
95,LWH0065AA,Beam Suntory - Suriwongse Store,SBO-001,Bowmore,Bowmore  12 Years Old (700 ml),700 ml,,,"3,229",23%,9%,"2,336","3,549"
94,LWH0064AA,Beam Suntory - Suriwongse Store,SBO-002,Bowmore,Bowmore  15 Years Old (700 ml),700 ml,,,"4,369",11%,9%,"3,645","4,799"
12,LBD0151EQ,United Beverage,SCM-027,Camus,Camus  Cognac Ile De Re Fine Island (700 ml),700 ml,1,,"2,079",14%,9%,"1,672","2,290"
7,LBD0107EQ,United Beverage,SCM-008,Camus,Camus  Cognac VSOP Borderies (700 ml),700 ml,,,"3,279",14%,9%,"2,622","3,600"
14,LBD0200EQ,United Beverage,,Camus,Camus  Cognac VSOP Intensity (700 ml),700 ml,,1,"2,909",14%,9%,"2,330","3,199"
3,LBD0017EQ,United Beverage,SCM-006,Camus,Camus  Cognac XO Borderies (700 ml),700 ml,,1,"7,639",12%,9%,"6,279","8,400"
15,LBD0201EQ,United Beverage,,Camus,Camus  Special Dry Borderies Single Estate (500 ml),500 ml,,,"4,459",10%,9%,"3,750","4,900"
16,LBD0202EQ,United Beverage,,Camus,Camus  XO Prestige Decanter (700 ml),700 ml,,,"13,829",10%,9%,"11,650","15,200"
36,LGN0357ES,Thai Beverage Public Company Limited,,Caorunn,Caorunn  Tom Yum Gin (700 ml),700 ml,,,"2,179",10%,9%,"1,839","2,395"
21,LGN0069DG,Premium Thai Brand Co.Ltd - Somphop Liquor,,Citadelle,Citadelle  Original Gin (700 ml),700 ml,,,#REF!,#REF!,#REF!,"1,676","2,049"
71,LTQ0179CN,BBC,,Clase Azul,Clase Azul  Tequila Anejo (750 ml),750 ml,,,"47,329",8%,4%,"40,546","49,299"
83,LTQ0245CN,BBC,,Clase Azul,Clase Azul  Tequila Mezcal Guerrero (750 ml),750 ml,,,"37,439",8%,4%,"32,075","38,999"
72,LTQ0186CN,BBC,,Clase Azul,Clase Azul  Tequila Plata (750 ml),750 ml,,,"10,459",8%,4%,"8,964","10,899"
76,LTQ0228ER,Magic Potion Ltd,,CÃ³digo 1530,CÃ³digo 1530  Rosa Reposado (750 ml),750 ml,,,"3,729",23%,9%,"2,700","4,100"
66,LTQ0167BU,Pernod Ricard,,CÃ³digo 1530,CÃ³digo 1530  Tequila Blanco (750 ml),750 ml,,,"2,869",18%,9%,"2,197","3,150"
67,LTQ0168BU,Pernod Ricard,,CÃ³digo 1530,CÃ³digo 1530  Tequila Rosa (750 ml),750 ml,,,"3,999",18%,9%,"3,060","4,400"
176,LWH1158AE,Brandconnect,,Compass Box,Compass Box  Crimson Cask (700 ml),700 ml,,,"3,819",12%,9%,"3,150","4,199"
180,LWH1172AE,Brandconnect,,Compass Box,Compass Box  Flaming Heart 25th Anniversary Edition Blended Malt Scotch Whisky (700 ml),700 ml,,,"7,819",11%,9%,"6,500","8,589"
181,LWH1173AE,Brandconnect,,Compass Box,Compass Box  Hedonism 2025 Blended Grain Scotch Whisky (700 ml),700 ml,1,1,"5,459",12%,9%,"4,500","5,999"
177,LWH1159AE,Brandconnect,,Compass Box,Compass Box  Nectarosity (700 ml),700 ml,,,"3,029",12%,9%,"2,500","3,329"
178,LWH1160AE,Brandconnect,,Compass Box,Compass Box  Orchard House (700 ml),700 ml,,,"2,639",12%,9%,"2,180","2,899"
182,LWH1174AE,Brandconnect,,Compass Box,Compass Box  Secrets of Smoke Blended Malt Scotch Whisky (700 ml),700 ml,,,"7,819",11%,9%,"6,500","8,589"
100,LWH0136AE,Brandconnect,,Compass Box,Compass Box  The Peat Monster (700 ml),700 ml,,,"3,029",12%,9%,"2,500","3,329"
99,LWH0103EQ,United Beverage,,Douglas Laing,Douglas Laing's  Big Peat (700 ml),700 ml,,,"2,639",15%,9%,"2,090","2,899"
143,LWH0558EQ,United Beverage,,Douglas Laing,Douglas Laing's  The Gauldrons (700 ml),700 ml,,,"2,959",14%,9%,"2,375","3,249"
117,LWH0255EQ,United Beverage,,Douglas Laing,Douglas Laing's  Timorous Beastie (700 ml),700 ml,,,"2,639",15%,9%,"2,090","2,899"
65,LTQ0147CN,BBC,,Espolon,Espolon  Reposado (750 ml),750 ml,,,"2,259",8%,4%,"1,933","2,349"
20,LGN0042AE,Brandconnect,,G'Vine,G'Vine  Floraison (700 ml),700 ml,,1,"1,809",12%,9%,"1,480","1,989"
113,LWH0186AF,Vanichwathana,90916,Glen Moray,Glen Moray  12 Years Old Single Malt Whisky (700 ml),700 ml,,,"1,639",13%,9%,"1,336","1,800"
151,LWH0633AF,Vanichwathana,90917,Glen Moray,Glen Moray  15 Years Old Single Malt Whisky (700 ml),700 ml,,1,"2,279",14%,9%,"1,840","2,500"
150,LWH0632AF,Vanichwathana,90912,Glen Moray,Glen Moray  Classic Sherry Cask Finish Single Malt Whisky (700 ml),700 ml,1,,"1,269",13%,9%,"1,032","1,400"
114,LWH0187AF,Vanichwathana,90911,Glen Moray,Glen Moray  Classic Single Malt Whisky (700 ml),700 ml,,,"1,179",13%,9%,960,"1,300"
92,LWH0001AA,Italasia - Suriwongse Store,SGF-001,Glenfiddich,Glenfiddich  12 Years Old (700 ml) (With Box),700 ml,2,,#REF!,#REF!,#REF!,"2,019","2,399"
191,LWH1218AA,Italasia,SGF-035,Glenfiddich,Glenfiddich Grand Chateau 31 Years Old (700 ml),700 ml,,,,,,"75,650","95,229"
124,LWH0385AH,Ambrose,38-2211,Glengoyne,Glengoyne  10 Year Old Single Malt Whisky (700 ml),700 ml,,,#REF!,#REF!,#REF!,"2,895","3,589"
108,LWH0167AD,IWS (MH),S-SCMH-005700000,Glenmorangie,Glenmorangie  Extremly Rare 18 Years (700 ml),700 ml,,1,"6,049",17%,9%,"4,675","6,645"
11,LBD0127AE,Brandconnect,,Hine,H by Hine VSOP (700 ml),700 ml,,2,"2,229",14%,9%,"1,800","2,449"
32,LGN0232ER,Magic Potion Ltd,,Hawthorns,Hawthornâs  London Dry Gin (700 ml),700 ml,,,"1,909",22%,9%,"1,400","2,100"
8,LBD0114AE,Brandconnect,,Hine,Hine  Antique XO (700 ml),700 ml,,,"11,369",16%,9%,"8,900","12,499"
9,LBD0115AE,Brandconnect,,Hine,Hine  Rare VSOP (700 ml),700 ml,,,"3,179",18%,9%,"2,450","3,499"
164,LWH1085BU,Brown-Forman,,Jack Daniel's,Jack Daniel's  Old No.7 Cradle Limited Edition (1 L),1000 ml (1 L),2,,,,,"2,243","2,699"
35,LGN0327AE,Brandconnect,,Seekers,Jason Kong Mekong Butterfly Gin (700 ml),700 ml,,,"1,259",12%,9%,"1,038","1,389"
62,LTQ0133AD,IWS,T-MXAE-007700000,Kah,Kah  Tequila Reposado (750 ml),750 ml,,,"2,909",16%,9%,"2,280","3,199"
112,LWH0185AE,Brandconnect,,Kilchoman,Kilchoman  Machir Bay  (700 ml),700 ml,1,,"3,019",11%,9%,"2,500","3,319"
154,LWH0972AE,Brandconnect,,Kilchoman,Kilchoman  Sanaig (700 ml),700 ml,1,,"3,489",11%,9%,"2,900","3,839"
189,LWH1212AE,Brandconnect,,Kilchoman,Kilchoman Batch Strength (700 ml),700 ml,,,"4,369",12%,9%,"3,580","4,799"
190,LWH1213AE,Brandconnect,,Kilchoman,Kilchoman Sauternes Cask (Limited) (700 ml),700 ml,,1,"5,549",11%,9%,"4,600","6,099"
144,LWH0559EQ,United Beverage,,Lambay,Lambay  Small Batch Blend Irish whiskey (700 ml),700 ml,,,"1,769",10%,9%,"1,490","1,949"
18,LBD0221BU,Pernod Ricard,N/A,Martell,Martell  Chanteloup XXO (700 ml),700 ml,,,"25,479",16%,9%,"19,888","27,999"
