ID,sku,SP Type,manufacturer,brand,name,bottle_size,vintage,9.9 price,Discount %,Margin,Order qty July,Order Aug,cost,price
27,WRW7495CB,,"Boozia Distribution Co., Ltd.",Talenti,Talenti Brunello di Montalcino âPieroâ DOCG,750 ml,2020 [**VINTAGE MAY CHANGE],"7,799",20%,23%,,,"5,592","9,800"
28,WRW7493CB,,"Boozia Distribution Co., Ltd.",Talenti,Talenti Brunello di Montalcino Riserva Pian di Conte,750 ml,2019 [**VINTAGE MAY CHANGE],"5,599",20%,24%,,,"3,992","7,000"
26,WRW7521CB,,"Boozia Distribution Co., Ltd.",Larkmead Estate,Larkmead Solari Napa Valley Cabernet Sauvignon,750 ml,2018 [**VINTAGE MAY CHANGE],"9,999",19%,24%,,,"7,120","12,400"
137,WRW7615FS,,SK Liquor,ChÃ¢teau Clerc Milon,Chateau Clerc Milon  2023,750 ml,2023 [**VINTAGE MAY CHANGE],"5,355",16%,21%,17,9,"3,950","6,400"
129,WRW4368HI,,Orion Fine Wines,Prunotto,Prunotto  Barolo DOCG,750 ml,2021 [**VINTAGE MAY CHANGE],"2,299",12%,24%,,1,"1,629","2,600"
133,WRW4900HI,,Orion Fine Wines,Antinori,Tenuta Guado al Tasso By Antinori  COn't Ugo Bolgheri DOC,750 ml,2022 [**VINTAGE MAY CHANGE],"2,299",12%,24%,,,"1,629","2,600"
131,WRW5371HI,,Orion Fine Wines,Tenuta di Biserno,Tenuta di Biserno  IL Pino di Biserno DOCG,750 ml,2022 [**VINTAGE MAY CHANGE],"2,399",11%,23%,2,,"1,719","2,700"
214,WRW6603AF,,Vanichwathana,SeÃ±a,Sena  2021,750 ml,2021 [**VINTAGE MAY CHANGE],"8,959",10%,15%,,,"7,125","10,000"
208,WRW4973AF,,Vanichwathana,Chateau De Camensac,Chateau De Camensac  Haut Medoc Grand Cru Classe,750 ml,2020 [**VINTAGE MAY CHANGE],"2,419",10%,17%,1,,"1,881","2,700"
87,WRW6019FJ,,Italthai (Consignment),Bosquet Des Papes,Bosquet des Papes Chateauneuf-du-Pape Tradition Rouge,750 ml,2022 [**VINTAGE MAY CHANGE],"2,189",10%,15%,,5,"1,729","2,429"
90,WRW6016FJ,,Italthai (Consignment),Chateau Franc-Maillet,Chateau Franc-Maillet Le Secret de Franc Maillet Pomerol AOC,750 ml,2020 [**VINTAGE MAY CHANGE],"1,779",10%,16%,,,"1,401","1,969"
134,WRW6965GT,,RD Wine Consulting (Consignment),Chateau Les Clavelines,Chateau Les Clavelines Saint Emilion Grand Cru,750 ml,2022 [**VINTAGE MAY CHANGE],959,10%,17%,5,1,743,"1,060"
61,WRW6074BN,,IQ Wine,Chateau Peymouton,Chateau Peymouton  Saint-Emilion,750 ml,2019 [**VINTAGE MAY CHANGE],"1,269",9%,16%,,,"1,000","1,400"
86,WRW5459FJ,,Italthai (Consignment),Bosquet Des Papes,Bosquet Des Papes  Chateauneuf-du-Pape Chante Le Merle,750 ml,2020 [**VINTAGE MAY CHANGE],"3,199",9%,16%,3,,"2,508","3,529"
46,WRW1382BN,,IQ Wine,Chateau Bel-Air,Chateau Bel-Air  Pomerol,750 ml,2019 [**VINTAGE MAY CHANGE],"2,179",9%,17%,,,"1,700","2,400"
205,WRW4975AF,,Vanichwathana,Chateau Rauzan-Gassies,"Chateau Bel-Orme Tronquoy De Lalande ""The Second Estate Of ChÃ¢teau Rauzan-Gassies""",750 ml,2019 [**VINTAGE MAY CHANGE],"2,179",9%,18%,,,"1,663","2,400"
40,WRW1819AE,,Gfour,Pietradolce,Pietradolce  Archineri Etna Rosso DOC,750 ml,2019 [**VINTAGE MAY CHANGE],"2,579",9%,32%,,,"1,637","2,840"
77,WRW4918AA,,Italasia,Damilano,"Damilano  Barolo ""Liste"" DOCG",750 ml,2019 [**VINTAGE MAY CHANGE],"2,929",9%,42%,,,"1,582","3,225"
247,WRW6188WN,,Wine-now,Chateau de la Vieille Tour,Reserve Tradition du Chateau de la Vieille Tour Bordeaux SupÃ©rieur AOP,750 ml,2019 [**VINTAGE MAY CHANGE],"1,089",9%,24%,2,22,770,"1,199"
120,WRW6489FT,,LUXE WINE,Domaine de Chevalier,L'Esprit de Chevalier Pessac Leognan Second wine of Domaine de Chevalier,750 ml,2020 [**VINTAGE MAY CHANGE],"2,089",9%,16%,,,"1,640","2,300"
126,WRW0412HI,,Orion Fine Wines,Antinori,"Antinori  Chianti Classico Riserva ""Marchese"" Tignanello DOCG",750 ml,2022 [**VINTAGE MAY CHANGE],"2,089",9%,25%,,,"1,458","2,300"
98,WRW7057AD,,IWS,Louis M.Martini,Louis M.Martini Napa Valley Cabernet Sauvignon,750 ml,2019 [**VINTAGE MAY CHANGE],"2,589",9%,16%,,,"2,040","2,850"
181,WRW2184AC,,Universal Fine Wine & Spirit,Honig,Honig  Napa Valley Cabernet Sauvignon,750 ml,2021 [**VINTAGE MAY CHANGE],"3,089",9%,17%,,,"2,400","3,400"
81,WRW0396AA,,Italasia,Mastrojanni,Mastrojanni  Brunello di Montalcino DOCG,750 ml,2019  [**VINTAGE MAY CHANGE],"3,189",9%,42%,,,"1,722","3,510"
11,WRW7416AB,,BB&B,Girard,"Girard Petite Sirah, Napa Valley",750 ml,2021 [**VINTAGE MAY CHANGE],"1,999",9%,17%,,,"1,547","2,200"
222,WRW7649HR,,"Vinum Lector Co.,Ltd",Chateau Olivier,Chateau Olivier Grand Cru Classe 2021,750 ml,2021 [**VINTAGE MAY CHANGE],"1,999",9%,16%,,,"1,575","2,200"
167,WRW1628BS,,Texica,Nicolis,Nicolis  Amarone della Valpolicella Classico DOCG,750 ml,2019 [**VINTAGE MAY CHANGE],"2,999",9%,17%,,,"2,320","3,300"
221,WRW4994HR,,"Vinum Lector Co.,Ltd",Chateau Kirwan,Chateau Kirwan 2019,750 ml,2019 [**VINTAGE MAY CHANGE],"2,999",9%,16%,,,"2,360","3,300"
83,WRW3196AA,,Italasia,Tenuta San Guido,Tenuta San Guido  Guidalberto IGT,750 ml,2022 [**VINTAGE MAY CHANGE],"3,599",9%,30%,,,"2,363","3,960"
166,WRW1630BS,,Texica,Marchesi Di Barolo,Marchesi Di Barolo  Barolo Sarmassa DOCG (Single Vineyard),750 ml,2019 [**VINTAGE MAY CHANGE],"3,999",9%,17%,,,"3,120","4,400"
177,WRW2146AC,,Universal Fine Wine & Spirit,Caymus,Caymus  Napa Valley Cabernet Sauvignon,750 ml,2023 [**VINTAGE MAY CHANGE],"3,999",9%,17%,2,2,"3,100","4,400"
186,WRW5047AC,,Universal Fine Wine & Spirit,Shafer,Shafer  TD-9,750 ml,2021 [**VINTAGE MAY CHANGE],"3,999",9%,17%,,,"3,100","4,400"
15,WRW4892AB,,BB&B,John Duval,John Duval  Entity Shiraz,750 ml,2021 [**VINTAGE MAY CHANGE],"1,909",9%,19%,,1,"1,445","2,100"
16,WRW4893AB,,BB&B,John Duval,John Duval  Plexus Shiraz Grenache MourvÃ©dre,750 ml,2020  [**VINTAGE MAY CHANGE],"1,909",9%,17%,,,"1,479","2,100"
72,WRW2362BN,,IQ Wine,Glaetzer,Glaetzer  Anaperenna,750 ml,2021 [**VINTAGE MAY CHANGE],"1,909",9%,19%,3,1,"1,450","2,100"
156,WRW7688AU,,Smiling Dark House,Chateau De Ferrand,Chateau De Ferrand Grand Cru Classe,750 ml,2019 [**VINTAGE MAY CHANGE],"1,909",9%,16%,,,"1,490","2,100"
189,WRW5186FC,,Valentine Wines,Castello Di Ama,Castello Di Ama  Chianti Classico DOCG,750 ml,2022 [**VINTAGE MAY CHANGE],"1,909",9%,16%,1,,"1,500","2,100"
155,WRW7582AU,,Smiling Dark House,Chateau Dauzac,ChÃ¢teau Dauzac 2019,750 ml,2019 [**VINTAGE MAY CHANGE],"2,909",9%,15%,1,,"2,300","3,200"
165,WRW5113BS,,Texica,Marchesi Di Barolo,Marchesi Di Barolo  Barolo di Barolo DOCG,750 ml,2019 [**VINTAGE MAY CHANGE],"2,909",9%,18%,,,"2,240","3,200"
180,WRW6142AC,,Universal Fine Wine & Spirit,Far Niente,"Far Niente  ""Post & Beam"" Napa Valley Cabernet Sauvignon",750 ml,2021 [**VINTAGE MAY CHANGE],"2,909",9%,15%,1,,"2,300","3,200"
185,WWW1403AC,,Universal Fine Wine & Spirit,Shafer,Shafer  Red Shoulder Ranch Chardonnay,750 ml,2019 [**VINTAGE MAY CHANGE],"2,909",9%,15%,,,"2,300","3,200"
44,WRW1852AE,,Gfour,Zenato,Zenato  Amarone della Valpolicella Classico DOC,750 ml,2019 [**VINTAGE MAY CHANGE],"3,709",9%,28%,1,,"2,495","4,080"
22,WRW4459AB,,BB&B,Louis Jadot,Louis Jadot  Pommard Clos de la Commaraine Premier Cru,750 ml,2017 [**VINTAGE MAY CHANGE],"3,909",9%,17%,,,"3,035","4,300"
20,WRW4240AB,,BB&B,Louis Jadot,Louis Jadot  Gevrey Chambertin,750 ml,2022 [**VINTAGE MAY CHANGE],"4,819",9%,16%,,,"3,800","5,300"
147,WRW7743FS,,SK Liquor,Chateau Pavie,Chateau Pavie Aromes De Pavie 2020,750 ml,2020 [**VINTAGE MAY CHANGE],"4,819",9%,16%,,,"3,780","5,300"
184,WRW2224AC,,Universal Fine Wine & Spirit,Shafer,Shafer  One Point Five Cabernet Sauvignon,750 ml,2021 [**VINTAGE MAY CHANGE],"4,819",9%,16%,,,"3,800","5,300"
201,WRW6371FC,,Valentine Wines,Two Hands,Two Hands  Coach House Block Shiraz Barossa,750 ml,2020 [**VINTAGE MAY CHANGE],"3,819",9%,17%,,,"2,950","4,200"
202,WRW6369FC,,Valentine Wines,Two Hands,Two Hands  Holy Grail Shiraz Barossa,750 ml,2021 [**VINTAGE MAY CHANGE],"3,819",9%,17%,,,"2,950","4,200"
203,WRW6372FC,,Valentine Wines,Two Hands,Two Hands  Secret Block Shiraz Barossa,750 ml,2021 [**VINTAGE MAY CHANGE],"3,819",9%,17%,,,"2,950","4,200"
10,WRW7415AB,,BB&B,Girard,"Girard Artistry Red Blend, Napa Valley",750 ml,2021 [**VINTAGE MAY CHANGE],"2,819",9%,17%,,,"2,193","3,100"
188,WRW6347FC,,Valentine Wines,Bodega Aleanna (El Enemigo),Bodega Aleanna  Gran Enemigo Gualtallary,750 ml,2020 [**VINTAGE MAY CHANGE],"5,729",9%,16%,,,"4,500","6,300"
199,WRW6373FC,,Valentine Wines,Two Hands,Two Hands  Ares Shiraz Barossa Valley,750 ml,2018 [**VINTAGE MAY CHANGE],"5,729",9%,16%,,2,"4,500","6,300"
60,WRW6073BN,,IQ Wine,Chateau Peby Faugeres,Chateau Peby Faugeres  Saint-Emilion,750 ml,2015 [**VINTAGE MAY CHANGE],"7,639",9%,16%,,,"6,000","8,400"
38,WRW6181AE,,Gfour,Massolino,Massolino  Barbaresco DOCG,750 ml,2021 [**VINTAGE MAY CHANGE],"2,319",9%,28%,,,"1,550","2,550"
132,WRW0413HI,,Orion Fine Wines,Antinori,Tenuta Guado al Tasso By Antinori  Bolgheri Superiore DOC,750 ml,2022 [**VINTAGE MAY CHANGE],"6,639",9%,16%,,,"5,200","7,300"
160,WRW7543AU,,Smiling Dark House,Chateau Rauzan-SÃ©gla,Chateau Rauzan-SÃ©gla  Margaux 2019,750 ml,2019 [**VINTAGE MAY CHANGE],"6,639",9%,16%,,,"5,200","7,300"
232,WRW3717DJ,,"Wine 5 Co.,Ltd.",Philippe Pacalet,Philippe Pacalet  Gevrey-Chambertin,750 ml,2022 [**VINTAGE MAY CHANGE],"6,639",9%,16%,,,"5,200","7,300"
187,WRW5192FC,,Valentine Wines,Agricola San Felice,Agricola San Felice  Bell'Aja Bolgheri DOC,750 ml,2022 [**VINTAGE MAY CHANGE],"1,819",9%,18%,,,"1,400","2,000"
197,WRW1106FC,The Impossible Grape,Valentine Wines,Louis Latour,Louis Latour  Marsannay Cote de Nuits,750 ml,2023 [**VINTAGE MAY CHANGE],"1,819",9%,18%,,4,"1,400","2,000"
212,WRW3841AF,,Vanichwathana,Heitz Cellar,Heitz Cellar  Napa Valley Cabernet Sauvignon,750 ml,2018 [**VINTAGE MAY CHANGE],"3,729",9%,17%,,,"2,896","4,100"
35,WRW5379DH,,Estella Wine,Pian dell'Orino,Pian dell'Orino  Brunello di Montalcino Vigneti del Versante DOCG,750 ml,2016 [**VINTAGE MAY CHANGE],"5,639",9%,17%,,,"4,393","6,200"
193,WRW5626FC,,Valentine Wines,Louis Latour,"Louis Latour  Corton Grand Cru ""Domaine Latour"" 2017",750 ml,2017 [**VINTAGE MAY CHANGE],"5,639",9%,17%,,,"4,400","6,200"
85,WWW6233FJ,,Italthai (Consignment),Albert Bichot,Albert Bichot Chablis,750 ml,2023 [**VINTAGE MAY CHANGE],"1,509",9%,16%,,,"1,179","1,659"
171,WSP1248DH,,The best Provider,Champagne Agrapart,Champagne Agrapart  Grand Cru Venus,750 ml,2018 [**VINTAGE MAY CHANGE],"11,279",9%,16%,,,"8,879","12,400"
237,WDW0550FO,,Wine Merchant,ChÃ¢teau d'Yquem,Chateau d'Yquem 2022 (375 ml),375 ml,2022,"9,369",9%,16%,,,"7,383","10,300"
50,WRW6562BN,,IQ Wine,Chateau Faugeres,Chateau Faugeres  Saint Emilion Grand Cru 2020,750 ml,2020 [**VINTAGE MAY CHANGE],"2,729",9%,18%,,,"2,100","3,000"
