"sku_tier","candidate_count","countries","sample_skus"
"AA","29","Italy","WRW0407AA; WSP1454AA; WRW4902AA; WWW4830AA; WWW4831AA; WRW0427AA; WWW0216AA; WWW0214AA; WRW6119AA; WRW6561AA"
"AB","12","Australia; France; Georgia","WOW0018AB; WRS0047AB; WRW5061AB; WRW6427AB; WRW6428AB; WRW6429AB; WSP0129AB; WSP2471AB; WRW5060AB; WRW3213AB"
"AF","9","France; USA","WRW5002AF; WRW4968AF; WRW6200AF; WRW4969AF; WWW4847AF; WRW6199AF; WRW6201AF; WRW1340AF; WWW1059AF"
"FC","8","Hungary; Italy","WWW2269FC; WWW2270FC; WWW2274FC; WRW4390FC; WRW5308FC; WWW5051FC; WWW5052FC; WWW5053FC"
"CB","6","Australia","WRW6055CB; WRW7447CB; WRW7448CB; WSP5697CB; WWW5314CB; WWW6189CB"
"GW","6","Georgia","WWW5962GW; WWW5963GW; WRW6792GW; WRW6793GW; WRW6794GW; WWW5961GW"
"FN","5","Australia; France","WRW5503FN; WRW5502FN; WRW5508FN; WSP2588FN; WWW5126FN"
"AD","4","Argentina; Australia; Latvia","WSP5688AD; WRW5998AD; WRW3217AD; WWW1723AD"
"BU","4","Argentina; Australia","WRS0231BU; WWW5305BU; WRW4307BU; WWW2218BU"
"CP","4","England","WSP1213CP; WSP1225CP; WSP1226CP; WSP2432CP"
"DH","4","France; Italy","WRW5372DH; WRW3501DH; WRW3502DH; WRW3503DH"
"DK","4","France","WRW3817DK; WRW3984DK; WWW2137DK; WWW2138DK"
"FS","4","France","WRW5074FS; WRW5868FS; WRW2278FS; WSP8891FS"
"GE","4","Australia","WRW5934GE; WWW5279GE; WSP9013GE; WSP9014GE"
"BN","3","France","WRW6524BN; WRW5484BN; WRW4993BN"
"FR","3","France","WRS0204FR; WRW5678FR; WWW5167FR"
"DJ","2","France","WWW1983DJ; WWW6006DJ"
"DR","2","Portugal","WDW0148DR; WDW0149DR"
"EC","2","Portugal","WDW0115EC; WDW0116EC"
"EH","2","France","WRS0191EH; WRW5405EH"
"FJ","2","Chile","WRW5860FJ; WWW5236FJ"
"AJ","1","France","WRW4229AJ"
"AK","1","France","WWW1157AK"
"CC","1","New Zealand","WDW0077CC"
"DD","1","Spain","WRW7636DD"
"EL","1","Germany","WDW0140EL"
"FP","1","France","WRW5722FP"
"FT","1","France","WRW6435FT"
"GT","1","France","WSP8898GT"
"GX","1","New Zealand","WRW4210GX"
