sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,bottle_size,price,validation_status,enrichment_priority
ABA0656AB,ABA0656,Coravin   Timeless Six + Piano Black,Accessories,,,USA,,,,,Coravin,,,,,"[""mineral""]",,0.892,"<div>
<div>Pour your favorite wines without pulling the cork with the Coravin Timeless Six Preservation System. The Six System brings a new level of elegance to our Timeless Wine Preservation Systems, allowing you to preserve still wines for weeks, months, or even years. Choose from a variety of elegant color options in a high-gloss finish, metallic accents, and premium accessories.</div>
<div> </div>
</div>
<div> </div>
<div>Celebrate the holidays with the limited edition Gemstone Collection in Anthracite, Deep Emerald and Dark Amethyst, all with striking gold accents.</div>
<div> </div>
<div>The Keith Haring x Coravin Artist Edition features the artist’s signature design style on our popular wine by the glass system.</div>",,20720,validated,1
CIG0375BT,CIG0375,Romeo Y Julieta  Mini (20 Sticks per Box),Cigar,,,Cuba,,,,,Romeo Y Julieta,,,,,,,0.892,"This Cigar will help get you through many an awkward situation. A real pleasure to relax with one of these. Romeo y Julieta Mini for a very reasonable price, guaranteeing hours of pleasure.",,2000,validated,1
GDC0048AB,GDC0048,Riedel  Decanter Ultra Magnum,Glassware,,,Austria,,,,,Riedel,,,,,,,0.892,"<p>The design of the Ultra Magnum is a nod to tradition with its swooping curves and wide base. The size of this decanter makes it perfect for young wines, as it offers a large surface area for the wine to be exposed to oxygen after decanting.</p>
<p>This decanter is designed for a magnum bottle of wine.</p>
<p>This pack contains a single piece.<br />This product is handmade. Please handwash only.<br />RIEDEL recommends: Use bottle cleaners to remove stains from the decanter.</p>",,12000,validated,1
GLQ0023BR,GLQ0023,Glencairn  Official Whisky Glass (Set of 6),Glassware,,,,,,,,Glencairn,,,,,,,0.88,"<p>The Glencairn Whisky Glass is a revolutionary whisky glass that really lets one savor the taste and complexity of fine whisky. These are great to use for any of your Single Malt Whisky's, Irish Whiskey's, and also your single barrel bourbons. With the tapered mouth, you are able to really smell all of the nuances the whisky has to offer. Any malt advocate will love this glass!</p>",,3800,validated,1
GWN0161AB,GWN0161,Riedel  Sommeliers Black Series ( R ) : Bordeaux Grand Cru,Glassware,,,Austria,Bordeaux,,,,Riedel,,,,,,,0.892,"Recommended for: Bordeaux (red), Cabernet Franc, Cabernet Sauvignon, Fronsac, Graves rouge, Listrac, Margaux, Médoc, Merlot, Moulis, Pauillac, Pessac Leognan (Rouge), Pomerol, St. Emilion, St. Estèphe, St. Julien",,7500,validated,1
GWN0406AB,GWN0406,Riedel  Veloce Cabernet/Merlot (Pack 2 piece),Glassware,,,Austria,,,,,Riedel,,full,,low,,,0.892,"<p>The Cabernet glass is perfect for full-bodied, complex red wines that are high in tannin.</p>
<p>This glass shape has been redeveloped as part of this collection. Its diamond shape works beautifully for big and bold New World wines as the extreme angles offer more space to develop aromas. The generous size of this glass emphasises fruit, smooths out the rough edges and bitter qualities of the tannin, and allows wines to achieve balance.</p>",,3250,validated,1
LAB0011AH,LAB0011,Grande Absinthe  (700 ml),Liqueur,,Herbal Liqueur,France,Provence,,,NV,Grande Absinthe,,,,,"[""herbal""]","Desserts, Coffee, Cocktails",0.892,"<p>A vividly green Absinthe, Grand Absente Original is made to a pre-ban recipe at Distilleries et Domaines in Provence. This uses artisanal distillation techniques and local botanicals.</p>",700 ml,2799,validated,1
LBD0007CN,LBD0007,St-Rémy  V.S.O.P (700 ml),Brandy,,,France,,,,NV,St-Rémy,,,,,,"Chocolate, Dried Fruits, Cheese, After Dinner",0.892,"ST-Remy V.S.O.P. is the flagship product. The international leader of French brandy category with the highest sales in the world. It is a symbol of the highest possible quality among the French brandies Gold Medal, SFWSC 2005",700 ml,949,validated,1
LBD0011CN,LBD0011,Remy Martin  V.S.O.P (700 ml),Brandy,,,France,Champagne,,,NV,Remy Martin,,full,,low,,Pork,0.904,"<p>The world's favorite V.S.O.P. The Market Leader and the reference for its pedigree and smooth taste. The ultimate versatility of the Fine Champagne which will lift your drink to new heights. The perfect harmony of mature and powerful aromas.</p>
<p><strong>Awards :</strong></p>
<ul>
<li><strong>Gold Medal : The Cognac Masters (The Spirits Business) - 2010</strong></li>
</ul>",700 ml,2849,validated,1
LBD0025BU,LBD0025,Martell  V.S (700 ml),Brandy,,,France,Cognac,,,NV,Martell,,,medium,low,"[""fruit"",""spice"",""oak"",""floral""]","Chocolate, Dried Fruits, Cheese, After Dinner",0.892,"A fresh, harmonious cognac of vigorous character. Martell VS is seen as a bright young cognac. Its fresh, fruity side makes it an ideal base when preparing cocktails.",,1875,validated,1
