# best-seller ranking, 20 deep per segment. site|lens|segment|sku,sku,... in rank order
# ordering: popularity_qty_90d, popularity_orders_90d, popularity_score, score_max, margin_thb, price
# margin is a TIE-BREAKER ONLY and never renders. all/type is derived from wn/type + lq/type.
all|band|b1|LGN0077DR,LVK0181AE,WSP1233AD,WRW3122CH,WRW0255AA,WRW0203AH,WRW2369AD,WSP1140AE,WRW4577DD,WRW1040AD,WWW0092AH,WRW3305DD,WWW5371AB,WRW2358BN,WRW4679AD,WSP1131AA,WRW0282AD,WRW6554WN,WWW0100AH,WRW5598AA
all|band|b2|WSP1096AD,WRW0211AH,WRW4683AD,WWW1197AD,WSP1104BU,WRW6217FS,WRW5858FX,WRW2359BN,WRW0066AC,WSP1229BS,WSP1089BS,LWH0079BU,WRW5869AD,WRW6363FC,WRW1647BN,WRW4680AD,WDW0032AB,WRW1621BS,WWW6233FJ,LBD0113BU
all|band|b3|WRW5859FX,WSP1167AD,WRW2348BN,WSP5786BN,LWH0318CN,WRW4681AD,WRW2146AC,WRW3893AH,WSP1275BN,WRW2153AC,WRW5020AD,WRW1249AD,WRW6690GE,WWW5266BN,WRW6081BN,WRW5665DJ,LWH0024AA,LWH1079CN,WSP0005FO,WRW6137AC
all|band|b4|WRW1570BN,WRW4874FS,WRW0415HI,LWH0145BU,WRW2385AD,WRW5351BN,WWW1433BN,WSP1187FC,WRW6318FC,WRW6614GX,WRW2973BN,LSK0120AB,LWH0366AA,LWH0161BU,LWH0332BU,LWH0214AA,WRW3294AE,WRW2459FS,WRW6347FC,WRW6072BN
all|band|b5|LWH0364CN,WSP5782BN,WSP5780AD,WRW6222FS,WRW6219FS,WRW2301BN,WWW6007AA,LTQ0209GH,WRW2974BN,WWW5091BN,WSP1115AD,LTQ0176CN,WRW5102AC,WRW6601AF,WRW6625AF,WWW0409FC,WRW6545FS,LWH1170CN,WRW1413AF,LTQ0203BU
lq|band|b1|LGN0077DR,LVK0181AE,LTQ0034CN,LRM0116DR,LTQ0033CN,LLQ0014CN,LOT0174GR,LLQ0062CN,LGP0078BS,LRM0111BU,LRM0035BU,LGN0015BU,LWH0220BU,LLQ0058CN,LWH0329AA,LLQ0304BU,LGN0081BU,LGN0348GR,LLQ0298BU,LWH0325AA
lq|band|b2|LWH0079BU,LBD0113BU,LWH0251AA,LWH0001AA,LGN0061CM,LWH0164BU,LWH0025AA,LRM0053BU,LWH0216BU,LGN0006AA,LWH0173AA,LLQ0255CN,LWH0078BU,LWH1160AE,LWH0172AD,LWH0182AE,LTQ0171CN,LGN0313GC,LTQ0066CN,LGN0026BU
lq|band|b3|LWH0318CN,LWH0024AA,LWH1079CN,LBD0050BU,LWH0544AD,LWH0137AE,LWH0343AA,LWH0138AE,LWH0162BU,LWH0155BU,LTQ0205CN,LTQ0035BU,LWH1159AE,LSK0008AR,LWH0350DG,LWH0597AH,LWH1227AA,LBD0136AA,LWH0320CN,LWH1064AA
lq|band|b4|LWH0145BU,LSK0120AB,LWH0366AA,LWH0161BU,LWH0332BU,LWH0214AA,LWH1252CN,LWH0336BU,LWH1188AB,LWH0980DG,LWH1248BU,LWH0598AH,LWH0005AA,LWH1273HM,LWH1265HM,LWH0195CN,LWH1279HM,LWH0156BU,LWH1210DG,LWH0371BU
lq|band|b5|LWH0364CN,LTQ0209GH,LTQ0176CN,LWH1170CN,LTQ0203BU,LTQ0250CN,LWH0668CN,LWH0040BU,LWH0011AA,LWH1179DG,LBD0198GB,LBD0224BU,LWH0139AE,LWH1253CN,LTQ0249CN,LWH0349AA,LBD0233AB,LBD0188DD,LWH0140AE,LBD0221BU
lq|country|England|LGN0077DR,LGN0015BU,LGN0081BU,LGN0063CN,LGN0016BU,LGN0017BU,LGN0194BU,LRM0143CP,LGN0176BU,LRM0207CP,LRM0206CP,LGN0029CN,LRM0210CP,LRM0144CP,LGN0158BU,LRM0212CP,LRM0209CP,LRM0211CP,LWH0722CP,LGN0107AD
lq|country|France|LLQ0058CN,LBD0113BU,LBD0007CN,LLQ0255CN,LLQ0410BU,LBD0050BU,LLQ0488CN,LGN0069DG,LBD0006CN,LRM0126DG,LLQ0328DR,LLQ0281AE,LLQ0269AE,LLQ0321DR,LLQ0411BU,LLQ0329BU,LBD0136AA,LVK0124DR,LBD0063AE,LLQ0278AE
lq|country|Ireland|LLQ0085BU,LWH0456CN,LWH1069AD,LWH0319BU,LWH0418CP,LWH1034DG,LGN0199CN,LWH0552CN,LWH0551CN,LWH0455CN,LWH1035DG,LWH0177AA,LWH1033DG,LGN0380AE,LWH0312AD,LWH0401BU,LWH1036DG,LWH1108AB,LWH1032DG,LWH0314AD
lq|country|Italy|LLQ0014CN,LLQ0062CN,LGP0078BS,LLQ0158CN,LLQ0319DR,LLQ0461AD,LGN0147BU,LLQ0003AA,LLQ0431CN,LLQ0320DR,LLQ0232CN,LLQ0413CN,LLQ0010AA,LLQ0072AT,LLQ0466BU,LBD0005AA,LLQ0557AE,LLQ0073AT,LLQ0494GW,LLQ0069AT
lq|country|Japan|LWH0325AA,LWH0251AA,LGN0214AA,LGN0106AA,LWH0563AD,LGN0360BU,LWH0539AA,LWH0343AA,LSK0222DB,LWH0246DB,LSK0519AB,LOT0154FS,LSK0127AB,LSK0268DB,LVK0194AA,LSK0449AB,LSK0120AB,LWH0366AA,LWH0984CN,LWH0713AB
lq|country|Mexico|LTQ0034CN,LTQ0033CN,LTQ0062BU,LTQ0202AD,LTQ0241ER,LTQ0171CN,LTQ0066CN,LTQ0172CN,LTQ0068CN,LTQ0067CN,LTQ0205CN,LTQ0035BU,LTQ0006BU,LTQ0209GH,LTQ0128CN,LTQ0133AD,LTQ0078BU,LTQ0137AA,LTQ0135AA,LTQ0015BU
lq|country|Netherlands|LLQ0098AD,LLQ0108AD,LLQ0104AD,LLQ0099AD,LLQ0088CN,LVK0071BU,LLQ0107AD,LLQ0105AD,LLQ0065AD,LLQ0066AD,LLQ0103AD,LLQ0093CN,LLQ0106AD,LLQ0089CN,LLQ0229CN,LLQ0102AD,LGN0078CN,LLQ0424CN,LLQ0399BU,LLQ0092CN
lq|country|Scotland|LWH0318CN,LWH0079BU,LWH0364CN,LWH0001AA,LWH0164BU,LGN0006AA,LWH0024AA,LWH0173AA,LWH1079CN,LWH0078BU,LWH0145BU,LWH1160AE,LWH0182AE,LWH0051BU,LWH0544AD,LWH0137AE,LWH0049BU,LWH0138AE,LWH0235BU,LWH0162BU
lq|country|Thailand|LOT0174GR,LGN0348GR,LGN0061CM,LRM0161ES,LGN0313GC,LWS0001HE,LVK0661GK,LRM0037DG,LRM0204AV,LVK0185DG,LRM0249GK,LRM0140ES,LRM0243GK,LBE0658CH,LRM0093AD,LGN0363GR,LGN0228DG,LRM0251GK,LVK0649GK,LWS0008HF
lq|country|USA|LRM0111BU,LWH0220BU,LWH0329AA,LLQ0304BU,LLQ0298BU,LWH0205AD,LWH0025AA,LWH0216BU,LWH0665BU,LGN0003AD,LWH0172AD,LVK0172CN,LWH0179BU,LVK0003AD,LLQ0079DR,LLQ0303BU,LWH0639BU,LTQ0001AD,LWH0034BU,LLQ0167AH
lq|type|agave|LTQ0034CN,LTQ0033CN,LTQ0062BU,LTQ0202AD,LTQ0241ER,LTQ0171CN,LTQ0066CN,LTQ0172CN,LTQ0001AD,LTQ0068CN,LTQ0067CN,LTQ0205CN,LTQ0035BU,LTQ0006BU,LTQ0209GH,LTQ0128CN,LTQ0133AD,LTQ0078BU,LTQ0137AA,LTQ0135AA
lq|type|brandy|LBD0113BU,LBD0007CN,LBD0050BU,LBD0006CN,LBD0005AA,LBD0136AA,LBD0063AE,LBD0011CN,LBD0200EQ,LBD0107EQ,LBD0088AH,LBD0087AH,LBD0227DG,LBD0166AA,LBD0235AA,LBD0261AE,LBD0199AD,LBD0043AF,LBD0110AE,LBD0184DD
lq|type|gin|LGN0077DR,LGN0015BU,LGN0081BU,LGN0348GR,LGN0063CN,LGN0016BU,LGN0061CM,LGN0214AA,LGN0017BU,LGN0194BU,LGN0106AA,LGN0006AA,LGN0360BU,LGN0003AD,LGN0313GC,LGN0026BU,LGN0176BU,LGN0147BU,LGN0069DG,LGN0083BU
lq|type|liqueur|LLQ0014CN,LLQ0062CN,LLQ0058CN,LLQ0304BU,LLQ0298BU,LLQ0085BU,LLQ0158CN,LLQ0334AD,LLQ0098AD,LLQ0108AD,LLQ0104AD,LLQ0059AD,LLQ0255CN,LLQ0319DR,LLQ0410BU,LLQ0099AD,LLQ0461AD,LLQ0088CN,LLQ0107AD,LLQ0105AD
lq|type|rum|LRM0116DR,LRM0111BU,LRM0035BU,LRM0266AB,LRM0143CP,LRM0186BU,LRM0053BU,LRM0161ES,LRM0190ER,LRM0037DG,LRM0207CP,LRM0126DG,LRM0204AV,LRM0249GK,LRM0140ES,LRM0206CP,LRM0243GK,LRM0093AD,LRM0251GK,LRM0196EQ
lq|type|sake|LSK0222DB,LSK0519AB,LSK0127AB,LSK0268DB,LSK0449AB,LSK0120AB,LSK0008AR,LSK0348AD,LSK0439FS,LSK0166AB,LSK0086AR,LSK0480AB,LSK0432FS,LSK0015AR,LSK0561AB,LSK0504AB,LSK0507AB,LSK0577AB,LSK0588AB,LSK0509AB
